date,Open,High,Low,Close,Volume
2013-03-15,112.06,112.06,111.16,103.0817,708263.0
2013-03-18,110.5,112.2,110.5,102.7868,606227.0
2013-03-19,111.87,112.3,110.3,102.5748,790074.0
2013-03-20,110.99,111.2,110.5001,102.2799,876452.0
2013-03-21,110.63,110.7899,108.724,100.6581,1090843.0
2013-03-22,109.8,110.49,109.69,101.7362,1037382.0
2013-03-25,110.54,110.97,108.692,100.9238,751249.0
2013-03-26,109.6,110.26,109.3,101.6997,858120.0
2013-03-27,109.34,110.3699,108.86,101.8475,1538337.0
2013-03-28,110.58,111.59,110.25,102.8081,953514.0
2013-04-01,111.62,111.62,109.37,101.3025,848937.0
2013-04-02,109.95,110.09,107.81,99.8892,1217862.0
2013-04-03,108.12,108.51,106.26,98.4667,957008.0
2013-04-04,106.53,106.95,106.0301,98.7069,946956.0
2013-04-05,105.58,107.48,104.4,99.1484,900434.0
2013-04-08,107.13,108.36,107.06,100.074,425133.0
2013-04-09,108.51,108.72,107.63,99.723,561384.0
2013-04-10,108.11,109.95,108.11,101.4965,485242.0
2013-04-11,108.9,110.54,108.9,101.2101,791815.0
2013-04-12,108.61,109.64,108.61,100.9884,421833.0
2013-04-15,108.84,108.84,104.87,97.0073,1689433.0
2013-04-16,106.85,107.59,105.53,99.2888,822864.0
2013-04-17,106.58,106.9,105.25,97.7924,435288.0
2013-04-18,105.96,106.62,105.38,97.7185,643875.0
2013-04-19,105.81,107.65,105.391,99.2426,444568.0
2013-04-22,107.62,108.1,106.08,99.3627,606790.0
2013-04-23,107.59,108.65,107.35,99.7876,453353.0
2013-04-24,108.01,109.03,107.9401,100.4065,364001.0
2013-04-25,109.26,109.31,108.5101,100.5173,702228.0
2013-04-26,108.81,109.13,108.33,100.5358,354363.0
2013-04-29,108.84,109.8,108.62,101.127,655423.0
2013-04-30,109.59,110.03,108.69,101.635,357175.0
2013-05-01,109.54,110.01,107.45,99.3073,938419.0
2013-05-02,107.45,109.29,107.45,100.3603,473653.0
2013-05-03,109.43,111.898,109.43,102.5125,1174980.0
2013-05-06,111.0,112.8,111.0,103.9073,457820.0
2013-05-07,112.92,114.33,112.92,105.57,658492.0
2013-05-08,114.15,114.73,113.42,105.8748,749613.0
2013-05-09,114.7,114.8,113.11,104.7017,460039.0
2013-05-10,113.48,114.16,113.48,105.2836,227454.0
2013-05-13,113.88,113.99,113.0701,104.7479,248337.0
2013-05-14,113.7,115.505,113.59,106.6877,588719.0
2013-05-15,115.78,116.75,115.08,107.4821,398212.0
2013-05-16,116.29,116.82,115.2,106.7154,222858.0
2013-05-17,116.2,116.98,115.84,107.9993,365136.0
2013-05-20,116.87,117.3,116.02,107.2788,211437.0
2013-05-21,116.36,117.039,115.75,107.3435,447544.0
2013-05-22,116.15,117.07,114.0,105.7363,498632.0
2013-05-23,113.0,114.7099,112.84,105.8656,328136.0
2013-05-24,114.5,114.5,112.88,105.4961,438560.0
2013-05-28,115.25,116.1,113.87,105.4961,468575.0
2013-05-29,113.52,113.85,112.7,104.4431,302177.0
2013-05-30,113.46,114.02,113.19,104.7664,270150.0
2013-05-31,112.96,114.33,112.39,103.8242,312044.0
2013-06-03,112.655,113.03,110.981,103.7688,526202.0
2013-06-04,112.33,113.51,111.362,103.2515,420026.0
2013-06-05,111.55,111.55,109.35,101.3671,447363.0
2013-06-06,109.63,110.84,109.2463,102.3093,326553.0
2013-06-07,111.89,113.795,111.15,104.8403,1082916.0
2013-06-10,113.8,114.02,112.84,104.5632,379501.0
2013-06-11,112.42,113.11,111.46,103.4362,138516.0
2013-06-12,113.02,113.23,111.13,102.8081,192641.0
2013-06-13,111.25,113.65,110.94,104.7756,396111.0
2013-06-14,113.35,114.41,112.6,104.1752,623599.0
2013-06-17,113.25,113.75,111.59,103.9166,899190.0
2013-06-18,112.31,113.779,112.31,104.9049,219410.0
2013-06-19,113.84,113.84,112.18,103.621,244086.0
2013-06-20,110.99,111.13,109.55,101.441,433103.0
2013-06-21,110.17,110.428,108.1901,100.8314,605013.0
2013-06-24,107.84,108.03,106.32,98.8454,539747.0
2013-06-25,108.13,109.28,107.6,100.6836,347905.0
2013-06-26,109.2,110.24,108.96,101.3801,225303.0
2013-06-27,110.25,110.67,109.49,102.2877,235719.0
2013-06-28,110.06,110.71,109.89,101.7783,178014.0
2013-07-01,110.56,112.01,110.56,103.0379,245200.0
2013-07-02,111.06,111.9,110.11,102.3989,381470.0
2013-07-03,109.63,110.62,109.63,102.0516,361646.0
2013-07-05,111.15,111.92,110.74,103.6585,187582.0
2013-07-08,112.38,112.56,111.77,103.7326,162014.0
2013-07-09,112.73,115.33,112.73,106.2055,642076.0
2013-07-10,114.5,114.83,113.4705,105.3719,458074.0
2013-07-11,114.95,115.42,114.622,106.8075,203729.0
2013-07-12,114.2,115.35,114.2,106.3074,446006.0
2013-07-15,114.78,115.5545,114.64,106.8168,112123.0
2013-07-16,115.63,115.73,114.27,106.011,502585.0
2013-07-17,114.6,115.67,114.6,106.965,379660.0
2013-07-18,115.54,117.75,115.54,108.7803,259055.0
2013-07-19,117.58,117.96,116.65,108.8173,682289.0
2013-07-22,117.27,117.95,117.219,108.734,173601.0
2013-07-23,117.5,117.5971,116.1701,107.7244,344700.0
2013-07-24,116.31,116.76,114.87,106.4833,437828.0
2013-07-25,114.83,115.05,113.42,106.5297,354243.0
2013-07-26,114.76,115.72,114.2632,107.1687,167114.0
2013-07-29,115.46,115.46,114.15,105.8813,165984.0
2013-07-30,114.51,114.94,114.18,106.1684,247653.0
2013-07-31,114.79,116.25,114.67,106.9279,233179.0
2013-08-01,116.66,119.4535,116.14,110.4011,509620.0
2013-08-02,119.15,119.35,118.45,110.1603,197076.0
2013-08-05,118.89,118.89,117.6495,109.2989,160887.0
2013-08-06,117.94,118.21,116.26,107.9004,232129.0
2013-08-07,116.0,116.0,114.9639,107.0854,271050.0
2013-08-08,116.0,116.93,115.95,107.8634,204313.0
2013-08-09,116.28,116.67,115.36,107.2058,176562.0
2013-08-12,114.98,116.138,114.98,107.4095,118751.0
2013-08-13,116.49,116.49,114.47,106.6871,257497.0
2013-08-14,114.75,114.96,114.13,105.7887,165497.0
2013-08-15,113.4,113.55,112.44,104.8255,722281.0
2013-08-16,113.07,114.22,113.0,105.5849,201106.0
2013-08-19,113.86,113.86,112.99,104.6495,176895.0
2013-08-20,113.0,114.54,112.9701,105.7146,705951.0
2013-08-21,113.69,114.13,113.08,105.0755,296433.0
2013-08-22,113.54,115.9299,113.54,107.2243,214189.0
2013-08-23,115.95,115.95,114.99,107.2799,270257.0
2013-08-26,116.11,116.63,115.66,107.2984,244416.0
2013-08-27,114.11,114.45,112.58,104.3716,367009.0
2013-08-28,112.66,113.06,112.051,104.2976,249913.0
2013-08-29,112.43,113.73,112.43,104.6032,558236.0
2013-08-30,112.62,113.17,111.43,103.4177,421030.0
2013-09-03,113.04,113.61,111.56,103.8159,736779.0
2013-09-04,112.13,113.65,112.08,105.2052,405046.0
2013-09-05,113.88,114.71,113.53,105.7239,217507.0
2013-09-06,114.91,114.91,113.0,105.4738,302500.0
2013-09-09,114.52,115.72,114.52,107.1317,195804.0
2013-09-10,116.69,118.17,116.52,109.4286,618250.0
2013-09-11,118.1,118.26,117.49,109.3823,198551.0
2013-09-12,117.8,117.8,116.62,108.1134,251178.0
2013-09-13,117.12,117.21,116.18,108.2783,185994.0
2013-09-16,118.94,118.94,117.95,109.373,337388.0
2013-09-17,118.02,118.38,117.69,109.5305,147498.0
2013-09-18,118.52,120.3151,118.07,111.1884,262408.0
2013-09-19,120.67,120.818,120.04,111.5033,232880.0
2013-09-20,120.72,121.0,119.79,111.0031,223363.0
2013-09-23,119.64,119.64,118.44,110.3363,335984.0
2013-09-24,118.69,119.83,118.66,110.4411,102994.0
2013-09-25,119.06,119.32,117.98,109.7632,404197.0
2013-09-26,118.58,119.02,118.26,110.201,266096.0
2013-09-27,117.79,118.16,117.34,109.4568,79377.0
2013-09-30,116.79,117.99,116.28,109.2247,282672.0
2013-10-01,117.33,119.48,117.33,110.7289,293320.0
2013-10-02,118.88,118.88,117.86,110.2461,105805.0
2013-10-03,118.35,118.53,116.37,109.1411,270970.0
2013-10-04,117.51,118.32,116.9,109.7168,261637.0
2013-10-07,116.78,117.6,116.51,108.5283,382137.0
2013-10-08,116.7,117.07,115.14,106.9405,185532.0
2013-10-09,115.66,116.06,114.49,107.284,236661.0
2013-10-10,116.88,118.4,116.83,109.7725,248130.0
2013-10-11,118.21,118.85,117.92,110.3575,94208.0
2013-10-14,118.48,119.039,118.02,110.3947,104223.0
2013-10-15,118.77,119.78,118.37,110.2275,198798.0
2013-10-16,119.24,120.41,119.02,111.7225,452371.0
2013-10-17,120.09,120.61,119.06,111.936,225162.0
2013-10-18,121.45,122.0,120.93,113.2824,169761.0
2013-10-21,122.27,122.42,121.69,113.6724,103360.0
2013-10-22,123.54,124.5245,123.12,114.6288,182732.0
2013-10-23,123.45,124.41,123.25,115.4274,116898.0
2013-10-24,124.9,125.7,124.06,116.653,228825.0
2013-10-25,125.75,125.75,124.78,116.2723,68754.0
2013-10-28,125.8,126.2445,125.3,116.8109,85481.0
2013-10-29,126.96,126.96,125.6201,117.0263,85743.0
2013-10-30,126.74,126.74,124.75,116.3188,106874.0
2013-10-31,124.85,125.48,123.8,115.7338,205800.0
2013-11-01,125.07,126.17,125.06,116.9223,137616.0
2013-11-04,126.62,127.49,126.53,118.3801,242438.0
2013-11-05,126.99,127.14,126.0801,117.6837,162450.0
2013-11-06,127.61,127.61,125.6901,116.8666,294311.0
2013-11-07,126.05,126.32,123.74,114.9538,387767.0
2013-11-08,123.95,125.34,123.84,116.3838,178324.0
2013-11-11,125.36,126.0899,125.2,116.9502,92058.0
2013-11-12,125.89,127.26,125.62,117.823,244459.0
2013-11-13,126.3,127.61,126.2103,118.4358,382789.0
2013-11-14,127.55,128.3999,127.55,118.8537,210703.0
2013-11-15,128.6,128.95,128.22,119.6801,233036.0
2013-11-18,129.27,129.629,128.26,119.3365,223349.0
2013-11-19,128.65,128.89,126.96,118.2594,255621.0
2013-11-20,127.5,127.74,126.59,117.8694,273928.0
2013-11-21,127.43,128.49,127.09,119.1323,125298.0
2013-11-22,128.63,128.89,128.17,119.6612,96568.0
2013-11-25,129.27,129.49,128.87,119.9772,174286.0
2013-11-26,129.33,129.4501,128.77,119.8101,62303.0
2013-11-27,129.0,130.0,129.0,120.6551,94775.0
2013-11-29,130.13,130.4,129.44,120.3394,152591.0
2013-12-02,129.6,130.779,129.52,120.5251,192176.0
2013-12-03,129.6,129.6,128.07,119.3364,267770.0
2013-12-04,127.77,128.79,126.6,118.8073,234274.0
2013-12-05,127.77,128.61,127.74,118.8258,161776.0
2013-12-06,129.12,129.12,128.365,119.5687,50614.0
2013-12-09,129.07,129.7,128.99,120.0051,222788.0
2013-12-10,128.89,129.93,128.36,119.1973,102604.0
2013-12-11,128.5,128.5,126.1501,117.2752,452769.0
2013-12-12,126.42,126.86,126.0,117.4609,220208.0
2013-12-13,126.83,127.52,126.63,117.9066,191198.0
2013-12-16,127.35,128.28,127.35,118.8258,288011.0
2013-12-17,128.6,128.6,126.91,118.2037,173098.0
2013-12-18,127.36,128.87,126.588,119.578,189932.0
2013-12-19,128.74,128.85,128.27,119.6244,121930.0
2013-12-20,129.0,130.37,128.79,120.8408,137693.0
2013-12-23,130.81,130.84,129.981,121.3931,86585.0
2013-12-24,130.94,130.954,130.37,121.8304,41394.0
2013-12-26,131.33,131.44,130.92,122.2027,127223.0
2013-12-27,131.33,131.515,130.48,121.9979,285117.0
2013-12-30,131.32,131.43,130.818,121.9979,87326.0
2013-12-31,131.37,132.138,131.3201,122.7424,55383.0
2014-01-02,131.7,131.72,129.83,121.0488,213352.0
2014-01-03,130.72,131.35,130.4,121.8304,127589.0
2014-01-06,131.27,131.68,129.11,120.2485,305411.0
2014-01-07,129.67,130.66,129.4201,121.0581,219544.0
2014-01-08,130.25,130.81,129.5801,121.5978,105378.0
2014-01-09,131.38,132.47,131.08,122.9378,109486.0
2014-01-10,132.41,133.79,132.37,124.4826,182316.0
2014-01-13,133.67,134.1099,131.54,122.761,249353.0
2014-01-14,132.21,133.745,131.86,124.3988,131706.0
2014-01-15,133.9,134.44,133.65,125.0409,198307.0
2014-01-16,133.64,133.7793,132.64,124.1662,328012.0
2014-01-17,132.3,133.3,132.25,123.6544,162530.0
2014-01-21,133.83,134.5,132.74,124.3523,273196.0
2014-01-22,134.08,135.29,134.08,125.7761,372278.0
2014-01-23,134.58,135.93,134.58,126.1297,471888.0
2014-01-24,133.0,133.35,129.975,121.0115,536652.0
2014-01-27,130.13,130.6099,128.04,119.8669,656389.0
2014-01-28,128.81,130.86,128.81,121.2721,224133.0
2014-01-29,129.58,130.32,128.26,119.6157,344953.0
2014-01-30,129.24,131.2,129.24,121.6816,364880.0
2014-01-31,129.0,131.4,129.0,121.3559,240792.0
2014-02-03,130.03,130.9526,126.11,117.4661,640221.0
2014-02-04,126.85,127.86,125.7,118.7968,730959.0
2014-02-05,126.55,127.17,125.5,117.95,530986.0
2014-02-06,127.27,128.77,126.87,119.6715,319705.0
2014-02-07,129.08,130.0503,128.73,120.5649,226807.0
2014-02-10,129.71,129.71,128.0,119.4854,420510.0
2014-02-11,128.96,130.46,128.3501,120.9371,373799.0
2014-02-12,130.0,130.28,129.5,121.0022,229153.0
2014-02-13,129.01,130.7,128.75,121.4396,329782.0
2014-02-14,129.9,131.24,129.9,121.877,177952.0
2014-02-18,131.8,131.8,129.16,120.5928,266013.0
2014-02-19,128.73,129.78,127.78,119.0853,624853.0
2014-02-20,128.57,130.34,127.92,120.9185,517424.0
2014-02-21,130.64,131.57,130.23,121.9886,281115.0
2014-02-24,131.48,132.97,131.11,122.5284,229023.0
2014-02-25,131.77,131.7703,130.3001,121.6909,283761.0
2014-02-26,131.05,131.46,130.16,121.4954,478153.0
2014-02-27,130.38,131.4,130.13,122.1748,703800.0
2014-02-28,130.96,132.426,130.84,122.5935,176299.0
2014-03-03,130.39,131.44,129.89,121.9049,644394.0
2014-03-04,131.99,134.1899,131.99,124.6129,372284.0
2014-03-05,133.99,134.645,133.98,124.9479,203534.0
2014-03-06,134.87,135.88,134.68,126.2693,355497.0
2014-03-07,136.43,136.94,135.5,126.8741,430699.0
2014-03-10,136.28,136.8197,135.33,126.6601,261486.0
2014-03-11,136.3,136.544,135.34,126.2693,269943.0
2014-03-12,134.91,136.1596,134.72,126.6043,243899.0
2014-03-13,136.4,136.89,133.61,124.9851,886770.0
2014-03-14,133.61,134.85,133.61,124.8083,286598.0
2014-03-17,135.08,135.775,134.74,125.9157,241782.0
2014-03-18,135.54,136.55,135.54,126.5578,264740.0
2014-03-19,136.26,136.42,134.627,125.9435,182551.0
2014-03-20,134.98,135.2501,134.06,125.7668,91828.0
2014-03-21,135.01,136.0399,134.57,125.348,119880.0
2014-03-24,134.7,135.49,133.4801,125.2456,243737.0
2014-03-25,134.31,135.83,134.31,125.9828,200413.0
2014-03-26,135.74,135.74,132.81,123.9862,322474.0
2014-03-27,132.45,132.98,131.8,123.6223,203275.0
2014-03-28,132.81,134.275,132.73,124.2661,118257.0
2014-03-31,134.04,135.67,133.99,126.3746,189060.0
